n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15
0,500,12,17,34,14,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:10]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:4]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:2]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
1,514,12,17,34,14,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:10]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:4]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
2,538,12,17,34,14,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:10]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:5]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
3,562,14,20,40,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[8:10]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
4,570,14,20,40,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')"
5,740,14,20,40,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
6,753,14,20,40,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
7,1142,14,20,40,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
8,1268,14,20,40,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:4]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
