n°_training,fitting_traces%,average_trace_fitness,precision,f-measure
1,0.0,0.18451465572967934,0.8070074669730041,0.30035578940774643
2,0.0,0.13832232440546177,0.9656311962987442,0.24198183906377962
3,0.0,0.1051983306824079,0.7947761194029851,0.18580332145985473
