n°_training,fitting_traces%,average_trace_fitness,precision,f-measure
1,0.5,0.22555908102067337,0.9357959542656112,0.36350171834400813
2,0.0,0.17195075786425418,0.9848837209302326,0.2927843271037319
3,0.0,0.1582785632434782,0.9911764705882353,0.27296759432594886
4,0.0,0.09587671596175434,0.798901098901099,0.17120677886412347
5,0.0,0.1135564959195338,0.7941507311586051,0.1987005756307453
