training,fitting_traces%,average_trace_fitness,precision,f-measure
1,50.39666666666667,0.7706308590946366,0.8183084685601449,0.7937543582128899
2,49.983333333333334,0.7777407479557984,0.9072595696516514,0.837522377791404
3,56.81,0.8025163169891657,0.8354407355837379,0.8186476209864356
4,29.516666666666666,0.6646825659987957,0.7681537525002174,0.7126821126760824
5,98.91891891891892,0.9952863577863579,0.7441705529646903,0.8516023531876846
WHOLE,46.79457338564873,0.7543172265418535,0.9012656773934945,0.8212699279907206
