training,fitting_traces%,average_trace_fitness,precision,f-measure
1,88.59,0.9797083152744804,1.0,0.9897501644212137
2,90.22,0.980300402906347,1.0,0.9900522178025408
3,93.30666666666667,0.9848612399637384,0.9931419994306565,0.9889842863137167
4,90.18333333333334,0.9748373222637908,0.9935260424975684,0.9840929619060383
5,98.37837837837837,0.9956810381810381,0.9946808510638298,0.9951806933178157
WHOLE,90.82995278313493,0.9794392893843085,0.9930261551344246,0.9861859272897957
