training,fitting_traces%,average_trace_fitness,precision,f-measure
1,0.25,0.17317521665534064,0.8985976267529665,0.2903877247049004
2,0.5012531328320802,0.13615700728043295,0.7949836423118866,0.23249461533330415
WHOLE,0.9174311926605505,0.176814929817038,0.9183445190156599,0.29653585484869605
