n°_training,current_trace,trace_1,trace_2,trace_3,trace_4,trace_5
0,100,"('01_HOOFD_010', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_040')","('01_HOOFD_030_2', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_040')"
1,371,"('01_HOOFD_010', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_040')"
2,391,"('01_HOOFD_010', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')"
3,803,"('01_HOOFD_010', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')"
4,975,"('01_HOOFD_010', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015')","('01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020')","('01_HOOFD_010', '01_HOOFD_030_2', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1')"
