n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10
0,15000,5,5,14,7,"[2:5846]('Create Fine', 'Payment')","[2:1494]('Create Fine', 'Send Fine')","[3:1294]('Create Fine', 'Send Fine', 'Payment')","[3:130]('Create Fine', 'Payment', 'Send Fine')","[3:1]('Create Fine', 'Payment', 'Payment')","[4:23]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[4:22]('Create Fine', 'Payment', 'Send Fine', 'Payment')","[4:12]('Create Fine', 'Send Fine', 'Payment', 'Payment')","[4:2]('Create Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Send Fine')","[4:1]('Create Fine', 'Payment', 'Payment', 'Send Fine')"
1,23891,6,5,14,7,"[2:7050]('Create Fine', 'Payment')","[2:2481]('Create Fine', 'Send Fine')","[3:1629]('Create Fine', 'Send Fine', 'Payment')","[3:196]('Create Fine', 'Payment', 'Send Fine')","[3:1]('Create Fine', 'Payment', 'Payment')","[3:1]('Create Fine', 'Send Fine', 'Appeal to Judge')","[4:35]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[4:28]('Create Fine', 'Payment', 'Send Fine', 'Payment')","[4:15]('Create Fine', 'Send Fine', 'Payment', 'Payment')","[4:2]('Create Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Send Fine')"
2,54048,7,5,18,9,"[2:15047]('Create Fine', 'Payment')","[2:6138]('Create Fine', 'Send Fine')","[3:2563]('Create Fine', 'Send Fine', 'Payment')","[3:317]('Create Fine', 'Payment', 'Send Fine')","[3:6]('Create Fine', 'Payment', 'Payment')","[3:1]('Create Fine', 'Send Fine', 'Appeal to Judge')","[3:1]('Create Fine', 'Appeal to Judge', 'Send Fine')","[4:73]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[4:45]('Create Fine', 'Payment', 'Send Fine', 'Payment')","[4:25]('Create Fine', 'Send Fine', 'Payment', 'Payment')"
