n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5
0,15000,9,8,48,24,"[5846]('Create Fine', 'Payment')","[3338]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[1494]('Create Fine', 'Send Fine')","[1294]('Create Fine', 'Send Fine', 'Payment')","[1031]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
1,15180,7,8,22,11,"[5846]('Create Fine', 'Payment')","[3510]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[1494]('Create Fine', 'Send Fine')","[1294]('Create Fine', 'Send Fine', 'Payment')",
2,40875,7,8,16,7,"[18500]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[9902]('Create Fine', 'Payment')","[4298]('Create Fine', 'Send Fine')",,
3,41581,7,8,22,11,"[19023]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[9943]('Create Fine', 'Payment')","[4298]('Create Fine', 'Send Fine')","[2547]('Create Fine', 'Send Fine', 'Payment')",
4,44730,7,8,16,7,"[19023]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[12299]('Create Fine', 'Payment')","[4462]('Create Fine', 'Send Fine')",,
