n°_evaluation,fitness,precision,f-measure,time
663,0.07792207792207795,0.25,0.11881188118811885,0.125
664,0.08108108108108103,0.25,0.12244897959183668,0.125
665,0.10526315789473684,0.25,0.14814814814814814,0.078125
666,0.2222222222222222,0.25,0.23529411764705882,0.015625
667,0.3529411764705882,0.25,0.2926829268292683,0.015625
668,0.07999999999999996,0.25,0.12121212121212116,0.140625
669,0.08695652173913049,0.25,0.12903225806451618,0.09375
670,0.09677419354838712,0.25,0.13953488372093026,0.109375
671,0.06896551724137934,0.25,0.10810810810810814,0.0625
672,0.07999999999999996,0.25,0.12121212121212116,0.0625
673,0.07407407407407407,0.25,0.11428571428571428,0.09375
674,0.07692307692307687,0.25,0.11764705882352935,0.0625
675,0.2727272727272727,0.25,0.2608695652173913,0.015625
676,0.1071428571428571,0.25,0.14999999999999997,0.078125
677,0.0714285714285714,0.25,0.11111111111111108,0.15625
678,0.07999999999999996,0.25,0.12121212121212116,0.0625
679,0.08333333333333337,0.25,0.12500000000000003,0.046875
680,0.08510638297872342,0.25,0.126984126984127,0.046875
681,0.06451612903225812,0.25,0.10256410256410263,0.125
682,0.07692307692307687,0.25,0.11764705882352935,0.0625
683,0.1333333333333333,0.25,0.17391304347826084,0.015625
684,0.08333333333333337,0.25,0.12500000000000003,0.0625
685,0.09677419354838712,0.25,0.13953488372093026,0.109375
686,0.08450704225352113,0.25,0.12631578947368421,0.09375
687,0.21052631578947367,0.25,0.22857142857142856,0.015625
688,0.08045977011494254,0.4,0.1339712918660287,0.15625
689,0.17142857142857137,0.25,0.20338983050847453,0.046875
690,0.2857142857142857,0.25,0.26666666666666666,0.0
691,0.0625,0.25,0.1,0.15625
692,0.07692307692307687,0.25,0.11764705882352935,0.15625
693,0.07843137254901966,0.25,0.11940298507462693,0.0625
694,0.08108108108108103,0.25,0.12244897959183668,0.09375
695,0.07272727272727275,0.25,0.1126760563380282,0.109375
696,0.07407407407407407,0.25,0.11428571428571428,0.046875
697,0.06666666666666665,0.25,0.10526315789473682,0.078125
698,0.06779661016949157,0.25,0.10666666666666672,0.109375
699,0.07017543859649122,0.25,0.1095890410958904,0.078125
700,0.07499999999999996,0.25,0.11538461538461534,0.140625
701,0.08510638297872342,0.25,0.126984126984127,0.0625
702,0.05084745762711862,0.0,0.0,0.0625
703,0.8,0.25,0.38095238095238093,0.015625
704,0.15909090909090906,0.4,0.22764227642276422,0.046875
705,0.12765957446808507,0.25,0.16901408450704222,0.046875
706,0.08510638297872342,0.25,0.126984126984127,0.078125
707,0.06779661016949157,0.25,0.10666666666666672,0.078125
708,0.06557377049180324,0.25,0.10389610389610385,0.078125
709,0.07999999999999996,0.25,0.12121212121212116,0.078125
710,0.11764705882352944,0.25,0.16000000000000003,0.046875
711,0.1578947368421053,0.25,0.19354838709677422,0.03125
712,0.06000000000000005,0.0,0.0,0.0625
713,0.08510638297872342,0.25,0.126984126984127,0.046875
714,0.07594936708860756,0.25,0.11650485436893199,0.140625
715,0.08163265306122447,0.25,0.12307692307692306,0.0625
716,0.08510638297872342,0.25,0.126984126984127,0.046875
717,0.07547169811320753,0.25,0.11594202898550722,0.0625
718,0.14814814814814814,0.25,0.18604651162790697,0.03125
719,0.052631578947368474,0.0,0.0,0.140625
720,0.09411764705882353,0.75,0.16724738675958187,0.1875
721,0.07407407407407407,0.25,0.11428571428571428,0.15625
722,0.15384615384615385,0.25,0.1904761904761905,0.015625
723,0.08510638297872342,0.25,0.126984126984127,0.0625
724,0.08510638297872342,0.25,0.126984126984127,0.046875
725,0.0674157303370787,0.25,0.1061946902654868,0.1875
726,0.12121212121212122,0.25,0.163265306122449,0.03125
727,0.05128205128205132,0.0,0.0,0.140625
