n°_evaluation,fitness,precision,f-measure,time
0,,,,0.04096199999999994
1,1.0,0.4285714285714286,0.6,0.022013999999999978
2,0.23809523809523814,0.35,0.2834008097165992,0.14546199999999976
3,0.19999999999999996,0.3529411764705882,0.25531914893617014,0.17024499999999998
4,0.15625,0.3571428571428571,0.21739130434782608,0.28457100000000013
5,0.19999999999999996,0.35,0.2545454545454545,0.15984299999999996
6,0.18000000000000005,0.25,0.2093023255813954,0.1316600000000001
7,0.20454545454545459,0.25,0.22500000000000003,0.16177900000000012
8,0.26086956521739135,0.2571428571428571,0.2589928057553957,0.14988199999999985
9,0.26086956521739135,0.23529411764705888,0.24742268041237117,0.14029200000000008
10,0.21739130434782605,0.3571428571428571,0.27027027027027023,0.1825840000000003
11,0.15909090909090906,0.0,0.0,0.1033849999999994
12,1.0,0.4285714285714286,0.6,0.010777000000000037
13,0.23809523809523814,0.0,0.0,0.09825300000000059
14,0.5,0.3529411764705882,0.41379310344827586,0.03464999999999918
15,0.18000000000000005,0.375,0.24324324324324328,0.1454310000000003
16,0.18867924528301883,0.3571428571428571,0.24691358024691354,0.20787500000000048
17,0.19047619047619047,0.25,0.2162162162162162,0.09993699999999972
18,0.2142857142857143,0.36363636363636365,0.26966292134831465,0.11117799999999978
19,0.23809523809523814,0.35,0.2834008097165992,0.13187700000000024
20,0.23809523809523814,0.3571428571428571,0.2857142857142857,0.12086400000000008
21,0.31034482758620685,0.3529411764705882,0.33027522935779813,0.1143200000000002
22,0.21739130434782605,0.35,0.268199233716475,0.1482669999999997
23,0.17543859649122806,0.3571428571428571,0.2352941176470588,0.18324699999999972
24,0.20454545454545459,0.25,0.22500000000000003,0.10883600000000015
25,0.23809523809523814,0.35,0.2834008097165992,0.16832199999999986
26,0.1428571428571429,0.2857142857142857,0.19047619047619052,0.22127300000000005
27,0.3846153846153846,0.3529411764705882,0.3680981595092024,0.07339800000000007
28,0.23809523809523814,0.3529411764705882,0.2843601895734597,0.17296099999999992
29,1.0,0.4117647058823529,0.5833333333333334,0.013803000000000232
30,0.19999999999999996,0.3529411764705882,0.25531914893617014,0.15345099999999956
31,0.23809523809523814,0.35,0.2834008097165992,0.13102000000000036
32,0.21739130434782605,0.35,0.268199233716475,0.19210700000000003
33,0.21739130434782605,0.3571428571428571,0.27027027027027023,0.13616699999999948
34,0.22448979591836737,0.25,0.23655913978494625,0.14924100000000085
