n°_evaluation,fitness,precision,f-measure,static_fitness,static_precision,static_f-measure
0,1.0,0.6666666666666667,0.8,1.0,0.6666666666666667,0.8
1,0.2857142857142857,0.6363636363636364,0.39436619718309857,0.2857142857142857,0.6363636363636364,0.39436619718309857
2,0.21999999999999997,0.6,0.3219512195121951,0.21999999999999997,0.6,0.3219512195121951
3,0.171875,0.5555555555555556,0.26252983293556087,0.171875,0.5555555555555556,0.26252983293556087
4,0.21999999999999997,0.6363636363636364,0.32696390658174096,0.21999999999999997,0.6363636363636364,0.32696390658174096
5,0.21999999999999997,0.25,0.23404255319148934,0.21999999999999997,0.25,0.23404255319148934
6,0.25,0.25,0.25,0.25,0.25,0.25
7,0.23913043478260865,0.4,0.29931972789115646,0.23913043478260865,0.4,0.29931972789115646
8,0.26086956521739135,0.4,0.31578947368421056,0.26086956521739135,0.4,0.31578947368421056
9,0.23913043478260865,0.5555555555555556,0.33434650455927045,0.23913043478260865,0.5555555555555556,0.33434650455927045
10,0.20454545454545459,0.0,0.0,0.20454545454545459,0.0,0.0
11,1.0,0.6666666666666667,0.8,1.0,0.6666666666666667,0.8
12,0.26190476190476186,0.0,0.0,0.26190476190476186,0.0,0.0
13,0.5,0.6,0.5454545454545454,0.5,0.6,0.5454545454545454
14,0.19999999999999996,0.4285714285714286,0.2727272727272727,0.19999999999999996,0.4285714285714286,0.2727272727272727
15,0.2075471698113207,0.5555555555555556,0.3021978021978022,0.2075471698113207,0.5555555555555556,0.3021978021978022
16,0.23809523809523814,0.25,0.24390243902439027,0.23809523809523814,0.25,0.24390243902439027
17,0.26190476190476186,0.5,0.34374999999999994,0.26190476190476186,0.5,0.34374999999999994
18,0.26190476190476186,0.6363636363636364,0.37108433734939755,0.26190476190476186,0.6363636363636364,0.37108433734939755
19,0.26190476190476186,0.5555555555555556,0.3559870550161812,0.26190476190476186,0.5555555555555556,0.3559870550161812
20,0.31034482758620685,0.6,0.409090909090909,0.31034482758620685,0.6,0.409090909090909
21,0.23913043478260865,0.6363636363636364,0.34762979683972905,0.23913043478260865,0.6363636363636364,0.34762979683972905
22,0.19298245614035092,0.5555555555555556,0.2864583333333334,0.19298245614035092,0.5555555555555556,0.2864583333333334
23,0.25,0.25,0.25,0.25,0.25,0.25
24,0.2857142857142857,0.6923076923076923,0.4044943820224719,0.2857142857142857,0.6923076923076923,0.4044943820224719
25,0.15714285714285714,0.4,0.22564102564102564,0.15714285714285714,0.4,0.22564102564102564
26,0.42307692307692313,0.6,0.49624060150375954,0.42307692307692313,0.6,0.49624060150375954
27,0.26190476190476186,0.6,0.3646408839779005,0.26190476190476186,0.6,0.3646408839779005
28,1.0,0.7,0.8235294117647058,1.0,0.7,0.8235294117647058
29,0.21999999999999997,0.6,0.3219512195121951,0.21999999999999997,0.6,0.3219512195121951
30,0.26190476190476186,0.6363636363636364,0.37108433734939755,0.26190476190476186,0.6363636363636364,0.37108433734939755
31,0.23913043478260865,0.6363636363636364,0.34762979683972905,0.23913043478260865,0.6363636363636364,0.34762979683972905
32,0.23913043478260865,0.5555555555555556,0.33434650455927045,0.23913043478260865,0.5555555555555556,0.33434650455927045
33,0.22448979591836737,0.6923076923076923,0.339041095890411,0.22448979591836737,0.6923076923076923,0.339041095890411
34,0.25,0.6363636363636364,0.358974358974359,0.25,0.6363636363636364,0.358974358974359
35,0.1875,0.5555555555555556,0.2803738317757009,0.1875,0.5555555555555556,0.2803738317757009
36,0.171875,0.5555555555555556,0.26252983293556087,0.171875,0.5555555555555556,0.26252983293556087
37,0.18644067796610164,0.5555555555555556,0.2791878172588832,0.18644067796610164,0.5555555555555556,0.2791878172588832
38,0.180327868852459,0.25,0.2095238095238095,0.180327868852459,0.25,0.2095238095238095
39,0.25,0.6363636363636364,0.358974358974359,0.25,0.6363636363636364,0.358974358974359
40,0.22916666666666663,0.6363636363636364,0.336980306345733,0.22916666666666663,0.6363636363636364,0.336980306345733
41,0.19999999999999996,0.5555555555555556,0.2941176470588235,0.19999999999999996,0.5555555555555556,0.2941176470588235
42,0.25,0.5555555555555556,0.3448275862068966,0.25,0.5555555555555556,0.3448275862068966
43,0.26190476190476186,0.5555555555555556,0.3559870550161812,0.26190476190476186,0.5555555555555556,0.3559870550161812
44,0.7857142857142857,0.6363636363636364,0.7031963470319634,0.7857142857142857,0.6363636363636364,0.7031963470319634
45,0.4285714285714286,0.5555555555555556,0.4838709677419355,0.4285714285714286,0.5555555555555556,0.4838709677419355
46,0.29032258064516125,0.6,0.3913043478260869,0.29032258064516125,0.6,0.3913043478260869
