experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
51,MIN,5,NFL UFR D,0.7102411397343543,0.4368473982158193,0.5267212711121431,17.3125,"[21, 14, 8, 10, 8, 10, 10, 10]"
52,MIN,5,NFL UFR S,0.7958949529486514,0.4242207380773048,0.5292117348868446,26.03125,[21]
53,MIN,5,UFL NFR D,0.6052717126674713,0.7068048355153619,0.6288928780521952,16.234375,"[7, 15, 14, 10, 12, 10, 9, 10]"
54,MIN,5,UFL NFR S,0.5710644760651855,0.3901648059542797,0.447316419891015,14.1875,[7]
55,MIN,5,UFL UFR D,0.6245279247620201,0.643922723475355,0.5922111016039484,16.265625,"[11, 11, 11, 11, 9, 11, 5, 5]"
56,MIN,5,UFL UFR S,0.5673106980234818,0.6553684210526316,0.5796458291956761,14.9375,[10]
57,MIN,10,NFL NFR D,0.7527983076681593,0.2324609471978727,0.3509481413039869,28.046875,"[32, 39, 26, 46, 16, 28, 36, 30, 30, 36, 31]"
58,MIN,10,NFL NFR S,0.8476963124301666,0.3366433468588848,0.4494767442658886,37.9375,[32]
59,MIN,10,NFL UFR D,0.7530567168490061,0.2295548840006748,0.3476733167949724,27.859375,"[38, 26, 38, 47, 16, 30, 30, 26, 26, 36, 31]"
60,MIN,10,NFL UFR S,0.8623776823868097,0.3174600839252218,0.4294598469495508,35.515625,[38]
61,MIN,10,UFL NFR D,0.5609353664464536,0.6191542229700124,0.5610324786011633,16.34375,"[7, 7, 9, 10, 10, 8, 9, 13, 19, 11, 12]"
62,MIN,10,UFL NFR S,0.5673106980234818,0.6553684210526316,0.5796458291956761,13.984375,[7]
63,MIN,10,UFL UFR D,0.6076832433535523,0.599374686716792,0.5829656045023058,18.75,"[8, 8, 10, 10, 10, 10, 9, 10, 14, 10, 10]"
64,MIN,10,UFL UFR S,0.5673106980234818,0.6553684210526316,0.5796458291956761,14.15625,[8]
65,MIN,15,NFL NFR D,0.8121606232818825,0.2085988025230025,0.3282177592840528,34.328125,"[41, 28, 32, 37, 57, 39, 54, 39, 39, 48, 58, 57, 35, 38, 31, 35, 40, 40, 46, 40]"
66,MIN,15,NFL NFR S,0.8535602642618144,0.2492855381219707,0.3778054615382054,38.28125,[41]
67,MIN,15,NFL UFR D,0.8121606232818825,0.2085988025230025,0.3282177592840528,34.359375,"[40, 27, 32, 32, 52, 57, 51, 58, 55, 47, 61, 39, 40, 31, 32, 39, 36, 40, 39, 44]"
68,MIN,15,NFL UFR S,0.8535602642618144,0.2492855381219707,0.3778054615382054,37.90625,[40]
69,MIN,15,UFL NFR D,0.5492105365117185,0.6736040100250626,0.5762297031793042,15.765625,"[18, 20, 8, 8, 10, 9, 11, 9, 10, 11, 11, 13, 11, 11, 10, 13, 11, 10, 10, 10]"
70,MIN,15,UFL NFR S,0.6092582605376009,0.6235857826384141,0.5908368670415953,20.46875,[18]
71,MIN,15,UFL UFR D,0.5827420978720347,0.6342289055973266,0.581952376283639,16.796875,"[8, 8, 10, 10, 10, 10, 10, 10, 12, 11, 10, 10, 11, 11, 13, 10, 11, 11, 10, 10]"
72,MIN,15,UFL UFR S,0.5673106980234818,0.6553684210526316,0.5796458291956761,14.109375,[8]
