n°_training,current_trace,trace_1,trace_2,trace_3,trace_4,trace_5
0,10000,"('NEW',)","('NEW', 'DELETE')","('NEW', 'FIN')","('NEW', 'NEW')","('NEW', 'BILLED')"
1,11135,"('NEW',)","('NEW', 'DELETE')","('NEW', 'FIN')","('NEW', 'BILLED')","('NEW', 'NEW')"
2,21976,"('NEW',)","('NEW', 'DELETE')","('NEW', 'FIN')","('NEW', 'NEW')","('NEW', 'BILLED')"
3,44384,"('NEW',)","('NEW', 'DELETE')","('NEW', 'FIN')","('NEW', 'NEW')","('NEW', 'SET STATUS')"
4,93684,"('NEW',)","('NEW', 'DELETE')","('NEW', 'FIN')","('NEW', 'NEW')","('NEW', 'CHANGE DIAGN')"
